exp_id,req,aligned,eer_mean_valid,eer_interp_valid,eer_mean_test,eer_interp_test
ICAO-199,mouth,not_aligned,0.2961,0.2992,0.3065,0.3116
ICAO-199,rotation,not_aligned,0.2765,0.2774,0.288,0.2875
ICAO-199,l_away,not_aligned,0.2934,0.2958,0.288,0.2886
ICAO-199,eyes_closed,not_aligned,0.237,0.2358,0.2186,0.2182
ICAO-199,close,not_aligned,0.1767,0.1667,0.0717,0.1434
ICAO-199,hat,not_aligned,0.1512,0.152,0.2015,0.1961
ICAO-199,dark_glasses,not_aligned,0.0435,0.0385,0.0653,0.0645
ICAO-199,frames_heavy,not_aligned,0.0046,0.0092,0.0088,0.0175
ICAO-199,frame_eyes,not_aligned,0.1975,0.1975,0.1958,0.201
ICAO-199,flash_lenses,not_aligned,0.2518,0.2558,0.2715,0.2667
ICAO-199,veil,not_aligned,0.0385,0.0467,0.1225,0.0952
ICAO-199,reflection,not_aligned,0.4369,0.4377,0.3747,0.3782
ICAO-199,light,not_aligned,0.3876,0.4048,0.3994,0.3913
ICAO-199,sh_face,not_aligned,0.257,0.2537,0.225,0.2278
ICAO-199,sh_head,not_aligned,0.1922,0.1931,0.1944,0.1946
ICAO-199,blurred,not_aligned,0.238,0.2558,0.1786,0.1858
ICAO-199,ink_mark,not_aligned,,,,
ICAO-199,skin_tone,not_aligned,0.4438,0.453,0.4574,0.4696
ICAO-199,washed_out,not_aligned,0.1204,0.2408,0.2482,0.25
ICAO-199,pixelation,not_aligned,0.4862,0.4884,0.4712,0.4615
ICAO-199,hair_eyes,not_aligned,0.2583,0.2574,0.2072,0.2143
ICAO-199,background,not_aligned,0.272,0.2738,0.3056,0.3052
ICAO-199,red_eyes,not_aligned,0.2406,0.2449,0.2142,0.2182
