exp_id,req,aligned,eer_mean_valid,eer_interp_valid,eer_mean_test,eer_interp_test
ICAO-228,mouth,not_aligned,0.0324,0.0333,0.0484,0.0411
ICAO-228,rotation,not_aligned,0.2266,0.2268,0.2538,0.2452
ICAO-228,l_away,not_aligned,0.1178,0.1204,0.085,0.0896
ICAO-228,eyes_closed,not_aligned,0.0392,0.0377,0.022,0.0258
ICAO-228,close,not_aligned,0.0712,0.1423,0.0542,0.1084
ICAO-228,hat,not_aligned,0.0076,0.0108,0.0512,0.0392
ICAO-228,dark_glasses,not_aligned,0.006,0.0121,0.5,0.0
ICAO-228,frames_heavy,not_aligned,0.0074,0.0147,0.5,0.0
ICAO-228,frame_eyes,not_aligned,0.0458,0.0456,0.0616,0.0595
ICAO-228,flash_lenses,not_aligned,0.0486,0.053,0.0448,0.05
ICAO-228,veil,not_aligned,0.5,0.0,0.5,0.0
ICAO-228,reflection,not_aligned,0.1114,0.1094,0.1076,0.109
ICAO-228,light,not_aligned,0.1248,0.119,0.1482,0.1304
ICAO-228,sh_face,not_aligned,0.1316,0.1317,0.075,0.0833
ICAO-228,sh_head,not_aligned,0.0895,0.0891,0.0692,0.0703
ICAO-228,blurred,not_aligned,0.056,0.0655,0.1223,0.1143
ICAO-228,ink_mark,not_aligned,,,,
ICAO-228,skin_tone,not_aligned,0.1387,0.1406,0.1635,0.1652
ICAO-228,washed_out,not_aligned,0.0184,0.0368,0.5,0.0
ICAO-228,pixelation,not_aligned,0.1946,0.1957,0.1992,0.2061
ICAO-228,hair_eyes,not_aligned,0.0552,0.0556,0.0988,0.08
ICAO-228,background,not_aligned,0.0563,0.0585,0.0553,0.0584
ICAO-228,red_eyes,not_aligned,0.0342,0.0364,0.0241,0.03
