exp_id,req,aligned,eer_mean_valid,eer_interp_valid,eer_mean_test,eer_interp_test
ICAO-242,mouth,not_aligned,0.051,0.0472,0.0622,0.0685
ICAO-242,rotation,not_aligned,0.1815,0.1825,0.201,0.2
ICAO-242,l_away,not_aligned,0.0912,0.0909,0.0686,0.0796
ICAO-242,eyes_closed,not_aligned,0.03,0.0283,0.0198,0.0182
ICAO-242,close,not_aligned,0.0712,0.1423,0.0262,0.0524
ICAO-242,hat,not_aligned,0.0087,0.0108,0.0407,0.0392
ICAO-242,dark_glasses,not_aligned,0.002,0.004,0.0039,0.0078
ICAO-242,frames_heavy,not_aligned,0.057,0.1115,0.5,0.0
ICAO-242,frame_eyes,not_aligned,0.0458,0.0461,0.0434,0.0476
ICAO-242,flash_lenses,not_aligned,0.0801,0.0796,0.0342,0.0351
ICAO-242,veil,not_aligned,0.001,0.0019,0.0238,0.0476
ICAO-242,reflection,not_aligned,0.0987,0.0981,0.1215,0.1218
ICAO-242,light,not_aligned,0.1228,0.119,0.1162,0.1304
ICAO-242,sh_face,not_aligned,0.1306,0.1345,0.0676,0.0741
ICAO-242,sh_head,not_aligned,0.1149,0.1139,0.0821,0.0865
ICAO-242,blurred,not_aligned,0.0941,0.093,0.0962,0.1067
ICAO-242,ink_mark,not_aligned,,,,
ICAO-242,skin_tone,not_aligned,0.1515,0.1534,0.149,0.1478
ICAO-242,washed_out,not_aligned,0.012,0.0239,0.5,0.0
ICAO-242,pixelation,not_aligned,0.1927,0.1935,0.182,0.1923
ICAO-242,hair_eyes,not_aligned,0.0677,0.0706,0.0305,0.04
ICAO-242,background,not_aligned,0.0364,0.036,0.0451,0.0455
ICAO-242,red_eyes,not_aligned,0.0183,0.0183,0.0198,0.0215
