id,property_icao_reqs,property_aligned,property_gt_names,created
IC-376,['mouth'],True, 'fvc',2021-05-12 14:09:59.262
IC-377,['rotation'],True, 'fvc',2021-05-12 14:25:49.929
IC-378,['l_away'],True, 'fvc',2021-05-12 14:41:49.938
IC-379,['eyes_closed'],True, 'fvc',2021-05-12 14:57:41.876
IC-380,['close'],True, 'fvc',2021-05-12 15:13:22.753
IC-381,['hat'],True, 'fvc',2021-05-12 15:26:23.078
IC-382,['dark_glasses'],True, 'fvc',2021-05-12 15:42:11.820
IC-383,['frames_heavy'],True, 'fvc',2021-05-12 15:52:31.380
IC-384,['frame_eyes'],True, 'fvc',2021-05-12 16:54:57.270
IC-385,['flash_lenses'],True, 'fvc',2021-05-12 17:10:36.664
IC-386,['veil'],True, 'fvc',2021-05-12 17:25:57.262
IC-387,['reflection'],True, 'fvc',2021-05-12 17:41:51.361
IC-388,['light'],True, 'fvc',2021-05-12 17:58:01.466
IC-389,['sh_face'],True, 'fvc',2021-05-12 18:14:02.977
IC-390,['sh_head'],True, 'fvc',2021-05-12 18:41:22.101
IC-391,['blurred'],True, 'fvc',2021-05-12 18:57:51.959
IC-392,['ink_mark'],True, 'fvc',2021-05-12 20:01:51.280
IC-393,['skin_tone'],True, 'fvc',2021-05-12 20:14:30.154
IC-394,['washed_out'],True, 'fvc',2021-05-12 20:34:35.732
IC-399,['pixelation'],True, 'fvc',2021-05-12 21:17:06.293
IC-401,['background'],True, 'fvc',2021-05-12 21:33:33.866
IC-405,['red_eyes'],True, 'fvc',2021-05-12 23:29:00.575
IC-412,['mouth'],True, 'pybossa',2021-05-12 23:54:39.971
IC-413,['rotation'],True, 'pybossa',2021-05-13 00:10:35.970
IC-439,['l_away'],True, 'pybossa',2021-05-13 01:02:02.399
IC-440,['eyes_closed'],True, 'pybossa',2021-05-13 01:18:32.708
IC-441,['close'],True, 'pybossa',2021-05-13 01:34:51.102
IC-442,['hat'],True, 'pybossa',2021-05-13 01:47:00.367
IC-443,['dark_glasses'],True, 'pybossa',2021-05-13 02:03:33.848
IC-444,['frames_heavy'],True, 'pybossa',2021-05-13 02:14:28.576
IC-445,['frame_eyes'],True, 'pybossa',2021-05-13 02:30:47.071
IC-446,['flash_lenses'],True, 'pybossa',2021-05-13 02:47:26.341
IC-447,['veil'],True, 'pybossa',2021-05-13 03:49:52.842
IC-448,['reflection'],True, 'pybossa',2021-05-13 04:06:11.702
IC-449,['light'],True, 'pybossa',2021-05-13 04:22:47.471
IC-450,['sh_face'],True, 'pybossa',2021-05-13 05:27:07.244
IC-451,['sh_head'],True, 'pybossa',2021-05-13 05:54:27.802
IC-452,['blurred'],True, 'pybossa',2021-05-13 06:10:54.130
IC-453,['ink_mark'],True, 'pybossa',2021-05-13 06:27:30.249
IC-454,['skin_tone'],True, 'pybossa',2021-05-13 06:37:14.349
IC-455,['washed_out'],True, 'pybossa',2021-05-13 07:39:43.325
IC-456,['pixelation'],True, 'pybossa',2021-05-13 07:56:17.413
IC-457,['hair_eyes'],True, 'pybossa',2021-05-13 08:12:51.775
IC-458,['background'],True, 'pybossa',2021-05-13 09:15:20.000
IC-459,['red_eyes'],True, 'pybossa',2021-05-13 09:31:44.972
IC-460,['hair_eyes'],True, 'fvc',2021-05-13 14:43:01.529
IC-461,['mouth'],False, 'fvc',2021-05-13 15:02:15.909
IC-462,['rotation'],False, 'fvc',2021-05-13 16:42:04.245
IC-463,['l_away'],False, 'fvc',2021-05-13 18:38:27.358
IC-464,['eyes_closed'],False, 'fvc',2021-05-13 20:34:52.216
IC-486,['close'],False, 'fvc',2021-05-14 15:10:12.879
IC-487,['hat'],False, 'fvc',2021-05-14 17:06:29.804
IC-490,['frame_eyes'],False, 'fvc',2021-05-14 19:07:34.338
IC-491,['flash_lenses'],False, 'fvc',2021-05-14 21:04:17.501
IC-492,['veil'],False, 'fvc',2021-05-14 23:01:59.219
IC-493,['reflection'],False, 'fvc',2021-05-15 00:50:25.077
IC-494,['light'],False, 'fvc',2021-05-15 02:46:34.080
