exp_id,req,aligned,eer_mean_valid,eer_interp_valid,eer_mean_test,eer_interp_test
ICAO-186,red_eyes,not_aligned,0.2292,0.2273,0.144,0.1636
ICAO-185,background,not_aligned,0.0912,0.0901,0.073,0.0746
ICAO-184,hair_eyes,not_aligned,0.1894,0.1936,0.1294,0.1387
ICAO-183,pixelation,not_aligned,0.2905,0.2907,0.3179,0.3282
ICAO-182,washed_out,not_aligned,0.0634,0.1268,0.0106,0.0211
ICAO-181,skin_tone,not_aligned,0.2102,0.2094,0.2113,0.2139
ICAO-180,ink_mark,not_aligned,,,,
ICAO-179,blurred,not_aligned,0.0796,0.0893,0.1021,0.1186
ICAO-178,sh_head,not_aligned,0.0988,0.099,0.0918,0.0971
ICAO-177,sh_face,not_aligned,0.1531,0.155,0.1518,0.1481
ICAO-176,light,not_aligned,0.1665,0.1667,0.1463,0.1623
ICAO-175,reflection,not_aligned,0.181,0.1811,0.194,0.1987
ICAO-174,veil,not_aligned,0.0346,0.0303,0.0238,0.0476
ICAO-173,flash_lenses,not_aligned,0.1343,0.1327,0.1176,0.1167
ICAO-172,frame_eyes,not_aligned,0.18,0.1823,0.1558,0.1569
ICAO-171,frames_heavy,not_aligned,0.0138,0.0276,0.5,0.0
ICAO-170,dark_glasses,not_aligned,0.0136,0.0192,0.0181,0.0323
ICAO-169,hat,not_aligned,0.0468,0.043,0.014,0.0196
ICAO-168,close,not_aligned,0.0508,0.1017,0.0332,0.0664
ICAO-167,eyes_closed,not_aligned,0.2266,0.2264,0.1831,0.1845
ICAO-166,l_away,not_aligned,0.2499,0.2513,0.2104,0.2139
ICAO-165,rotation,not_aligned,0.2388,0.2439,0.2794,0.2837
ICAO-164,mouth,not_aligned,0.1996,0.2024,0.212,0.2192
