Id,Creation Time,Owner,Tags,props/icao_reqs
ICAO-111,2021-06-10 23:24:18,guilhermemg,"[""ground truths"",""binary_output"",""adamax"",""ink_mark"",""vgg16"",""not_aligned"",""single_task"",""fvc""]",['ink_mark']
ICAO-110,2021-06-10 22:17:57,guilhermemg,"[""adamax"",""fvc"",""binary_output"",""washed_out"",""not_aligned"",""vgg16"",""ground truths"",""single_task""]",['washed_out']
ICAO-106,2021-06-09 23:57:07,guilhermemg,"[""adamax"",""fvc"",""not_aligned"",""vgg16"",""pixelation"",""ground truths"",""single_task"",""binary_output""]",['pixelation']
ICAO-102,2021-06-09 21:48:11,guilhermemg,"[""fvc"",""red_eyes"",""not_aligned"",""vgg16"",""adamax"",""ground truths"",""binary_output"",""single_task""]",['red_eyes']
ICAO-96,2021-06-09 05:13:52,guilhermemg,"[""adamax"",""vgg16"",""blurred"",""binary_output"",""fvc"",""ground truths""]",['blurred']
ICAO-95,2021-06-09 04:09:55,guilhermemg,"[""binary_output"",""vgg16"",""skin_tone"",""adamax"",""fvc"",""ground truths""]",['skin_tone']
ICAO-92,2021-06-09 00:58:17,guilhermemg,"[""binary_output"",""fvc"",""hair_eyes"",""ground truths"",""adamax"",""vgg16""]",['hair_eyes']
ICAO-91,2021-06-08 23:54:22,guilhermemg,"[""vgg16"",""ground truths"",""adamax"",""fvc"",""binary_output"",""background""]",['background']
ICAO-80,2021-06-05 18:12:20,guilhermemg,"[""fvc"",""vgg16"",""adamax"",""binary_output"",""ground truths"",""sh_head""]",['sh_head']
ICAO-74,2021-06-05 16:00:19,guilhermemg,"[""vgg16"",""binary_output"",""fvc"",""ground truths"",""adamax"",""sh_face""]",['sh_face']
ICAO-73,2021-06-05 14:56:47,guilhermemg,"[""vgg16"",""binary_output"",""light"",""adamax"",""ground truths"",""fvc""]",['light']
ICAO-72,2021-06-05 13:53:19,guilhermemg,"[""adamax"",""vgg16"",""ground truths"",""fvc"",""binary_output"",""reflection""]",['reflection']
ICAO-71,2021-06-05 12:49:52,guilhermemg,"[""vgg16"",""ground truths"",""adamax"",""veil"",""fvc"",""binary_output""]",['veil']
ICAO-70,2021-06-05 11:46:22,guilhermemg,"[""binary_output"",""vgg16"",""ground truths"",""flash_lenses"",""adamax"",""fvc""]",['flash_lenses']
ICAO-69,2021-06-05 10:42:55,guilhermemg,"[""fvc"",""vgg16"",""ground truths"",""frame_eyes"",""binary_output"",""adamax""]",['frame_eyes']
ICAO-68,2021-06-05 09:39:28,guilhermemg,"[""ground truths"",""adamax"",""fvc"",""vgg16"",""frames_heavy"",""binary_output""]",['frames_heavy']
ICAO-47,2021-06-05 00:06:27,guilhermemg,"[""binary_output"",""adamax"",""dark_glasses"",""ground truths"",""fvc"",""vgg16""]",['dark_glasses']
ICAO-43,2021-06-04 13:37:50,guilhermemg,"[""binary_output"",""ground truths"",""vgg16"",""fvc"",""adamax"",""hat""]",['hat']
ICAO-42,2021-06-04 12:34:06,guilhermemg,"[""adamax"",""vgg16"",""fvc"",""close"",""binary_output"",""ground truths""]",['close']
ICAO-41,2021-06-04 01:29:55,guilhermemg,"[""vgg16"",""ground truths"",""adamax"",""eyes_closed"",""binary_output"",""fvc""]",['eyes_closed']
ICAO-40,2021-06-04 00:26:03,guilhermemg,"[""adamax"",""binary_output"",""fvc"",""vgg16"",""ground truths"",""l_away""]",['l_away']
ICAO-39,2021-06-03 23:22:32,guilhermemg,"[""rotation"",""binary_output"",""ground truths"",""fvc"",""adamax"",""vgg16""]",['rotation']
ICAO-38,2021-06-03 22:20:08,guilhermemg,"[""fvc"",""mouth"",""adamax"",""ground truths"",""binary_output"",""vgg16""]",['mouth']
