exp_id,req,aligned,eer_mean_valid,eer_interp_valid,eer_mean_test,eer_interp_test
ICAO-204,mouth,not_aligned,0.051,0.0548,0.06,0.0651
ICAO-204,rotation,not_aligned,0.2388,0.2336,0.2706,0.2788
ICAO-204,l_away,not_aligned,0.1152,0.1152,0.1146,0.1149
ICAO-204,eyes_closed,not_aligned,0.0358,0.0377,0.0204,0.0364
ICAO-204,close,not_aligned,0.1767,0.1867,0.0769,0.1538
ICAO-204,hat,not_aligned,0.0065,0.0108,0.0098,0.0196
ICAO-204,dark_glasses,not_aligned,0.0106,0.0192,0.0162,0.0323
ICAO-204,frames_heavy,not_aligned,0.5,0.0,0.5,0.0
ICAO-204,frame_eyes,not_aligned,0.0329,0.0329,0.0374,0.0392
ICAO-204,flash_lenses,not_aligned,0.0632,0.0645,0.0408,0.0482
ICAO-204,veil,not_aligned,0.5,0.0,0.0238,0.0476
ICAO-204,reflection,not_aligned,0.1224,0.1241,0.1532,0.1591
ICAO-204,light,not_aligned,0.1675,0.1667,0.0963,0.1057
ICAO-204,sh_face,not_aligned,0.1819,0.1854,0.1796,0.1759
ICAO-204,sh_head,not_aligned,0.0988,0.099,0.0821,0.0865
ICAO-204,blurred,not_aligned,0.1452,0.1508,0.1239,0.1621
ICAO-204,ink_mark,not_aligned,,,,
ICAO-204,skin_tone,not_aligned,0.1754,0.1757,0.1939,0.1913
ICAO-204,washed_out,not_aligned,0.5,0.2937,0.0035,0.007
ICAO-204,pixelation,not_aligned,0.3566,0.3548,0.3486,0.3511
ICAO-204,hair_eyes,not_aligned,0.0655,0.0661,0.0268,0.0336
ICAO-204,background,not_aligned,0.2052,0.2072,0.2154,0.2164
ICAO-204,red_eyes,not_aligned,0.0365,0.0366,0.0177,0.0172
