exp_id,req,aligned,eer_mean_valid,eer_interp_valid,eer_mean_test,eer_interp_test
ICAO-239,mouth,not_aligned,0.0268,0.0394,0.0506,0.0548
ICAO-239,rotation,not_aligned,0.1961,0.1971,0.1827,0.1875
ICAO-239,l_away,not_aligned,0.1221,0.123,0.0883,0.092
ICAO-239,eyes_closed,not_aligned,0.0289,0.0283,0.0198,0.0215
ICAO-239,close,not_aligned,0.1157,0.1667,0.0402,0.0804
ICAO-239,hat,not_aligned,0.0065,0.0108,0.0288,0.038
ICAO-239,dark_glasses,not_aligned,0.0096,0.0192,0.002,0.0039
ICAO-239,frames_heavy,not_aligned,0.5,0.0,0.5,0.0
ICAO-239,frame_eyes,not_aligned,0.0412,0.043,0.0508,0.0539
ICAO-239,flash_lenses,not_aligned,0.0632,0.0645,0.047,0.05
ICAO-239,veil,not_aligned,0.0152,0.0303,0.0294,0.0476
ICAO-239,reflection,not_aligned,0.1151,0.1132,0.1387,0.141
ICAO-239,light,not_aligned,0.104,0.1129,0.0803,0.1304
ICAO-239,sh_face,not_aligned,0.117,0.1171,0.1139,0.1167
ICAO-239,sh_head,not_aligned,0.0709,0.0725,0.0972,0.0971
ICAO-239,blurred,not_aligned,0.0636,0.0575,0.1125,0.1143
ICAO-239,ink_mark,not_aligned,,,,
ICAO-239,skin_tone,not_aligned,0.1552,0.1565,0.1664,0.1676
ICAO-239,washed_out,not_aligned,0.0064,0.0129,0.0018,0.0035
ICAO-239,pixelation,not_aligned,0.2282,0.2306,0.2299,0.2308
ICAO-239,hair_eyes,not_aligned,0.0574,0.0648,0.0473,0.0546
ICAO-239,background,not_aligned,0.0623,0.0615,0.0387,0.0448
ICAO-239,red_eyes,not_aligned,0.0285,0.0297,0.0198,0.0215
