exp_id,req,aligned,eer_mean_valid,eer_interp_valid,eer_mean_test,eer_interp_test
ICAO-232,mouth,not_aligned,0.2834,0.2835,0.2857,0.2877
ICAO-232,rotation,not_aligned,0.2643,0.2659,0.2928,0.2981
ICAO-232,l_away,not_aligned,0.166,0.1697,0.1947,0.194
ICAO-232,eyes_closed,not_aligned,0.0381,0.0385,0.022,0.0258
ICAO-232,close,not_aligned,0.0786,0.1571,0.028,0.0559
ICAO-232,hat,not_aligned,0.0958,0.0968,0.0814,0.0844
ICAO-232,dark_glasses,not_aligned,0.0207,0.0222,0.0259,0.0323
ICAO-232,frames_heavy,not_aligned,0.0625,0.125,0.0192,0.0385
ICAO-232,frame_eyes,not_aligned,0.102,0.1053,0.0942,0.0952
ICAO-232,flash_lenses,not_aligned,0.2314,0.2327,0.1601,0.1667
ICAO-232,veil,not_aligned,0.0239,0.0303,0.0332,0.0476
ICAO-232,reflection,not_aligned,0.2102,0.2113,0.2188,0.2197
ICAO-232,light,not_aligned,0.1903,0.1905,0.1945,0.2151
ICAO-232,sh_face,not_aligned,0.2126,0.2146,0.1815,0.1852
ICAO-232,sh_head,not_aligned,0.1457,0.1478,0.1382,0.1405
ICAO-232,blurred,not_aligned,0.2559,0.2558,0.2472,0.2571
ICAO-232,ink_mark,not_aligned,,,,
ICAO-232,skin_tone,not_aligned,0.2048,0.2051,0.2012,0.2023
ICAO-232,washed_out,not_aligned,0.159,0.318,0.5,0.0
ICAO-232,pixelation,not_aligned,0.3222,0.3226,0.341,0.3359
ICAO-232,hair_eyes,not_aligned,0.1492,0.1481,0.0883,0.0966
ICAO-232,background,not_aligned,0.1862,0.1847,0.1698,0.1642
ICAO-232,red_eyes,not_aligned,0.0764,0.0801,0.0616,0.0687
