exp_id,req,aligned,eer_mean_valid,eer_interp_valid,eer_mean_test,eer_interp_test
ICAO-338,mouth,not_aligned,0.0423,0.0452,0.0367,0.0548
ICAO-338,rotation,not_aligned,0.1949,0.1898,0.1875,0.1875
ICAO-338,l_away,not_aligned,0.1064,0.103,0.1196,0.1149
ICAO-338,eyes_closed,not_aligned,0.0255,0.0283,0.0375,0.0386
ICAO-338,close,not_aligned,0.1406,0.1667,0.0,0.1119
ICAO-338,hat,not_aligned,0.0087,0.0108,0.0161,0.0196
ICAO-338,dark_glasses,not_aligned,0.0106,0.0192,0.0,0.0195
ICAO-338,frames_heavy,not_aligned,0.0,0.0202,0.0,0.0
ICAO-338,frame_eyes,not_aligned,0.0342,0.0354,0.0483,0.049
ICAO-338,flash_lenses,not_aligned,0.0542,0.0553,0.0386,0.0439
ICAO-338,veil,not_aligned,0.0,0.0,0.0482,0.0476
ICAO-338,reflection,not_aligned,0.1388,0.1358,0.1317,0.1346
ICAO-338,light,not_aligned,0.1378,0.1429,0.0822,0.1304
ICAO-338,sh_face,not_aligned,0.1262,0.1268,0.1213,0.1222
ICAO-338,sh_head,not_aligned,0.0587,0.0594,0.0616,0.0649
ICAO-338,blurred,not_aligned,0.1,0.1071,0.0967,0.1143
ICAO-338,ink_mark,not_aligned,,,,
ICAO-338,skin_tone,not_aligned,0.0,0.0,0.0,0.0
ICAO-338,washed_out,not_aligned,0.1446,0.1453,0.191,0.1908
ICAO-338,pixelation,not_aligned,0.0,0.1755,0.0,0.0
ICAO-338,hair_eyes,not_aligned,0.234,0.2422,0.2739,0.2786
ICAO-338,background,not_aligned,0.0746,0.0741,0.0489,0.06
ICAO-338,red_eyes,not_aligned,0.1094,0.1108,0.1042,0.1039
