exp_id,req,aligned,eer_mean_valid,eer_interp_valid,eer_mean_test,eer_interp_test
ICAO-273,mouth,not_aligned,0.051,0.0548,0.0714,0.0822
ICAO-273,rotation,not_aligned,0.2205,0.219,0.2058,0.2115
ICAO-273,l_away,not_aligned,0.1165,0.1178,0.1543,0.1494
ICAO-273,eyes_closed,not_aligned,0.046,0.0377,0.075,0.0727
ICAO-273,close,not_aligned,0.1712,0.1667,0.049,0.0979
ICAO-273,hat,not_aligned,0.013,0.0215,0.0449,0.0392
ICAO-273,dark_glasses,not_aligned,0.0197,0.0192,0.0162,0.0323
ICAO-273,frames_heavy,not_aligned,0.0156,0.0313,0.5,0.0
ICAO-273,frame_eyes,not_aligned,0.0458,0.0461,0.0434,0.0476
ICAO-273,flash_lenses,not_aligned,0.0744,0.0691,0.0684,0.0702
ICAO-273,veil,not_aligned,0.5,0.0,0.0038,0.0075
ICAO-273,reflection,not_aligned,0.1298,0.1312,0.1285,0.1288
ICAO-273,light,not_aligned,0.11,0.101,0.1369,0.1434
ICAO-273,sh_face,not_aligned,0.137,0.1374,0.1268,0.1204
ICAO-273,sh_head,not_aligned,0.0802,0.0812,0.0638,0.0595
ICAO-273,blurred,not_aligned,0.1078,0.1163,0.1505,0.1429
ICAO-273,ink_mark,not_aligned,,,,
ICAO-273,skin_tone,not_aligned,0.1424,0.1438,0.1765,0.1792
ICAO-273,washed_out,not_aligned,0.1241,0.216,0.5,0.0
ICAO-273,pixelation,not_aligned,0.2282,0.2306,0.3256,0.3435
ICAO-273,hair_eyes,not_aligned,0.0769,0.0741,0.041,0.042
ICAO-273,background,not_aligned,0.038,0.04,0.052,0.0519
ICAO-273,red_eyes,not_aligned,0.0251,0.0364,0.0397,0.0364
