exp_id,req,aligned,eer_mean_valid,eer_interp_valid,eer_mean_test,eer_interp_test
ICAO-320,mouth,not_aligned,0.0874,0.0866,0.1544,0.1507
ICAO-320,rotation,not_aligned,0.1498,0.1533,0.1654,0.1683
ICAO-320,l_away,not_aligned,0.123,0.1152,0.1172,0.1194
ICAO-320,eyes_closed,not_aligned,0.0578,0.059,0.0247,0.0364
ICAO-320,close,not_aligned,0.0,0.163,0.0,0.3695
ICAO-320,hat,not_aligned,0.0,0.0044,0.0204,0.0211
ICAO-320,dark_glasses,not_aligned,0.0,0.002,0.0,0.0117
ICAO-320,frames_heavy,not_aligned,0.0,0.0,0.0,0.0
ICAO-320,frame_eyes,not_aligned,0.0587,0.0592,0.0581,0.0686
ICAO-320,flash_lenses,not_aligned,0.0655,0.0691,0.0557,0.0614
ICAO-320,veil,not_aligned,0.0,0.0019,0.0,0.0
ICAO-320,reflection,not_aligned,0.1499,0.1509,0.1661,0.1731
ICAO-320,light,not_aligned,0.1417,0.1429,0.2077,0.1739
ICAO-320,sh_face,not_aligned,0.1331,0.1317,0.1084,0.1111
ICAO-320,sh_head,not_aligned,0.0895,0.0899,0.0718,0.0757
ICAO-320,blurred,not_aligned,0.0951,0.0972,0.0903,0.0949
ICAO-320,ink_mark,not_aligned,,,,
ICAO-320,skin_tone,not_aligned,0.0,0.0,0.0,0.0
ICAO-320,washed_out,not_aligned,0.1936,0.1923,0.1244,0.1272
ICAO-320,pixelation,not_aligned,0.0,0.1709,0.0,0.0
ICAO-320,hair_eyes,not_aligned,0.1391,0.1492,0.2376,0.2308
ICAO-320,background,not_aligned,0.0746,0.0741,0.0389,0.04
ICAO-320,red_eyes,not_aligned,0.0516,0.0541,0.059,0.0597
