exp_id,req,aligned,eer_mean_valid,eer_interp_valid,eer_mean_test,eer_interp_test
ICAO-320,mouth,not_aligned,0.3956,0.3937,0.4586,0.4651
ICAO-320,rotation,not_aligned,0.3922,0.3902,0.4068,0.4
ICAO-320,l_away,not_aligned,0.382,0.3818,0.3572,0.3582
ICAO-320,eyes_closed,not_aligned,0.3884,0.39,0.3685,0.3734
ICAO-320,close,not_aligned,0.2053,0.1667,0.0,0.4441
ICAO-320,hat,not_aligned,0.3134,0.3118,0.3291,0.3333
ICAO-320,dark_glasses,not_aligned,0.2553,0.2606,0.1624,0.1634
ICAO-320,frames_heavy,not_aligned,0.0,0.125,0.0,0.0385
ICAO-320,frame_eyes,not_aligned,0.349,0.3487,0.3308,0.3333
ICAO-320,flash_lenses,not_aligned,0.4888,0.4908,0.4552,0.4605
ICAO-320,veil,not_aligned,0.217,0.2121,0.157,0.1905
ICAO-320,reflection,not_aligned,0.4607,0.461,0.4478,0.4487
ICAO-320,light,not_aligned,0.333,0.3333,0.2814,0.3019
ICAO-320,sh_face,not_aligned,0.3847,0.3889,0.4296,0.4259
ICAO-320,sh_head,not_aligned,0.3174,0.3218,0.325,0.3297
ICAO-320,blurred,not_aligned,0.2619,0.2679,0.2175,0.2571
ICAO-320,ink_mark,not_aligned,,,,
ICAO-320,skin_tone,not_aligned,0.0,0.0,0.0,0.0
ICAO-320,washed_out,not_aligned,0.4352,0.4345,0.3879,0.3826
ICAO-320,pixelation,not_aligned,0.4865,0.5435,0.449,0.5521
ICAO-320,hair_eyes,not_aligned,0.3108,0.3067,0.4235,0.4329
ICAO-320,background,not_aligned,0.3123,0.3148,0.3854,0.38
ICAO-320,red_eyes,not_aligned,0.3929,0.3919,0.4168,0.4179
