exp_id,req,aligned,eer_mean_valid,eer_interp_valid,eer_mean_test,eer_interp_test
ICAO-344,mouth,not_aligned,0.081,0.0787,0.1314,0.1233
ICAO-344,rotation,not_aligned,0.1596,0.1606,0.1322,0.125
ICAO-344,l_away,not_aligned,0.1612,0.1576,0.1626,0.1642
ICAO-344,eyes_closed,not_aligned,0.0474,0.0476,0.0241,0.03
ICAO-344,close,not_aligned,0.0,0.1551,0.0,0.0455
ICAO-344,hat,not_aligned,0.0131,0.0154,0.014,0.0196
ICAO-344,dark_glasses,not_aligned,0.0,0.0121,0.0,0.0278
ICAO-344,frames_heavy,not_aligned,0.0,0.0,0.0,0.0
ICAO-344,frame_eyes,not_aligned,0.0658,0.0658,0.0784,0.0833
ICAO-344,flash_lenses,not_aligned,0.062,0.0622,0.0596,0.0667
ICAO-344,veil,not_aligned,0.0,0.0078,0.0,0.0476
ICAO-344,reflection,not_aligned,0.1151,0.117,0.0865,0.0897
ICAO-344,light,not_aligned,0.1457,0.1429,0.0869,0.087
ICAO-344,sh_face,not_aligned,0.1278,0.1268,0.1241,0.1204
ICAO-344,sh_head,not_aligned,0.0895,0.0899,0.0897,0.0919
ICAO-344,blurred,not_aligned,0.052,0.0575,0.1466,0.1429
ICAO-344,ink_mark,not_aligned,,,,
ICAO-344,skin_tone,not_aligned,0.0,0.0,0.0,0.0
ICAO-344,washed_out,not_aligned,0.1626,0.1624,0.1346,0.1387
ICAO-344,pixelation,not_aligned,0.0,0.0519,0.0,0.0372
ICAO-344,hair_eyes,not_aligned,0.1504,0.1613,0.1189,0.1538
ICAO-344,background,not_aligned,0.0872,0.0911,0.051,0.06
ICAO-344,red_eyes,not_aligned,0.0402,0.0405,0.0623,0.0649
