Id,Creation Time,Owner,Tags,properties/icao_reqs,properties/aligned,properties/gt_names
ICAO-186,2021-06-12 13:21:22,guilhermemg,"[""ground truths"",""vgg16"",""binary_output"",""adamax"",""red_eyes"",""fvc""]",['red_eyes'],0.0,"{'train_validation': [], 'test': [], 'train_validation_test': ['fvc']}"
ICAO-185,2021-06-12 13:18:09,guilhermemg,"[""binary_output"",""ground truths"",""adamax"",""vgg16"",""fvc"",""background""]",['background'],0.0,"{'train_validation': [], 'test': [], 'train_validation_test': ['fvc']}"
ICAO-184,2021-06-12 13:14:38,guilhermemg,"[""fvc"",""ground truths"",""binary_output"",""adamax"",""hair_eyes"",""vgg16""]",['hair_eyes'],0.0,"{'train_validation': [], 'test': [], 'train_validation_test': ['fvc']}"
ICAO-183,2021-06-12 13:11:25,guilhermemg,"[""ground truths"",""pixelation"",""binary_output"",""vgg16"",""fvc"",""adamax""]",['pixelation'],0.0,"{'train_validation': [], 'test': [], 'train_validation_test': ['fvc']}"
ICAO-182,2021-06-12 13:08:26,guilhermemg,"[""binary_output"",""ground truths"",""vgg16"",""washed_out"",""fvc"",""adamax""]",['washed_out'],0.0,"{'train_validation': [], 'test': [], 'train_validation_test': ['fvc']}"
ICAO-181,2021-06-12 13:04:52,guilhermemg,"[""fvc"",""adamax"",""skin_tone"",""binary_output"",""ground truths"",""vgg16""]",['skin_tone'],0.0,"{'train_validation': [], 'test': [], 'train_validation_test': ['fvc']}"
ICAO-180,2021-06-12 13:03:24,guilhermemg,"[""adamax"",""fvc"",""ink_mark"",""binary_output"",""vgg16"",""ground truths""]",['ink_mark'],0.0,"{'train_validation': [], 'test': [], 'train_validation_test': ['fvc']}"
ICAO-179,2021-06-12 13:00:08,guilhermemg,"[""binary_output"",""ground truths"",""vgg16"",""adamax"",""fvc"",""blurred""]",['blurred'],0.0,"{'train_validation': [], 'test': [], 'train_validation_test': ['fvc']}"
ICAO-178,2021-06-12 12:56:45,guilhermemg,"[""ground truths"",""adamax"",""vgg16"",""sh_head"",""fvc"",""binary_output""]",['sh_head'],0.0,"{'train_validation': [], 'test': [], 'train_validation_test': ['fvc']}"
ICAO-177,2021-06-12 12:53:18,guilhermemg,"[""sh_face"",""fvc"",""ground truths"",""binary_output"",""adamax"",""vgg16""]",['sh_face'],0.0,"{'train_validation': [], 'test': [], 'train_validation_test': ['fvc']}"
ICAO-176,2021-06-12 12:50:04,guilhermemg,"[""light"",""vgg16"",""adamax"",""binary_output"",""fvc"",""ground truths""]",['light'],0.0,"{'train_validation': [], 'test': [], 'train_validation_test': ['fvc']}"
ICAO-175,2021-06-12 12:46:30,guilhermemg,"[""reflection"",""vgg16"",""binary_output"",""adamax"",""ground truths"",""fvc""]",['reflection'],0.0,"{'train_validation': [], 'test': [], 'train_validation_test': ['fvc']}"
ICAO-174,2021-06-12 12:43:31,guilhermemg,"[""binary_output"",""fvc"",""veil"",""ground truths"",""adamax"",""vgg16""]",['veil'],0.0,"{'train_validation': [], 'test': [], 'train_validation_test': ['fvc']}"
ICAO-173,2021-06-12 12:40:11,guilhermemg,"[""ground truths"",""fvc"",""vgg16"",""adamax"",""binary_output"",""flash_lenses""]",['flash_lenses'],0.0,"{'train_validation': [], 'test': [], 'train_validation_test': ['fvc']}"
ICAO-172,2021-06-12 12:36:43,guilhermemg,"[""frame_eyes"",""vgg16"",""fvc"",""adamax"",""binary_output"",""ground truths""]",['frame_eyes'],0.0,"{'train_validation': [], 'test': [], 'train_validation_test': ['fvc']}"
ICAO-171,2021-06-12 12:33:54,guilhermemg,"[""vgg16"",""adamax"",""ground truths"",""binary_output"",""frames_heavy"",""fvc""]",['frames_heavy'],0.0,"{'train_validation': [], 'test': [], 'train_validation_test': ['fvc']}"
ICAO-170,2021-06-12 12:30:54,guilhermemg,"[""adamax"",""fvc"",""vgg16"",""ground truths"",""dark_glasses"",""binary_output""]",['dark_glasses'],0.0,"{'train_validation': [], 'test': [], 'train_validation_test': ['fvc']}"
ICAO-169,2021-06-12 12:27:45,guilhermemg,"[""fvc"",""hat"",""binary_output"",""adamax"",""vgg16"",""ground truths""]",['hat'],0.0,"{'train_validation': [], 'test': [], 'train_validation_test': ['fvc']}"
ICAO-168,2021-06-12 12:24:50,guilhermemg,"[""ground truths"",""binary_output"",""adamax"",""vgg16"",""fvc"",""close""]",['close'],0.0,"{'train_validation': [], 'test': [], 'train_validation_test': ['fvc']}"
ICAO-167,2021-06-12 12:21:25,guilhermemg,"[""adamax"",""fvc"",""ground truths"",""binary_output"",""eyes_closed"",""vgg16""]",['eyes_closed'],0.0,"{'train_validation': [], 'test': [], 'train_validation_test': ['fvc']}"
ICAO-166,2021-06-12 12:17:54,guilhermemg,"[""vgg16"",""fvc"",""ground truths"",""adamax"",""binary_output"",""l_away""]",['l_away'],0.0,"{'train_validation': [], 'test': [], 'train_validation_test': ['fvc']}"
ICAO-165,2021-06-12 12:14:23,guilhermemg,"[""vgg16"",""binary_output"",""fvc"",""adamax"",""ground truths"",""rotation""]",['rotation'],0.0,"{'train_validation': [], 'test': [], 'train_validation_test': ['fvc']}"
ICAO-164,2021-06-12 12:10:37,guilhermemg,"[""adamax"",""vgg16"",""mouth"",""binary_output"",""fvc"",""ground truths""]",['mouth'],0.0,"{'train_validation': [], 'test': [], 'train_validation_test': ['fvc']}"
